Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,med_aff,med_treat,label
12,"the findings showed that the formaldehyde releasing agents were not present at low voltages , but high voltage use released a dangerous amount of these agents",0.18144774,0.18807457,0.18144774,3.411250839,3.032199415,3.476080141,Negative,0,0,oppose
13,"now a new study suggests that e cigarettes may pose significant harm to va per s , having found that more than 75 percent of the e cigarette varieties tested contained diacetyl a flavouring chemical that 's previously been linked to the severe respiratory disease , bronchiolitis obliterans",0.18145335,0.18807262,0.18145335,3.741149231,3.54644687,3.932725796,Neutral,0,0,oppose
14,concerns exist that e cigarette user exposure to toxic levels of nicotine may be harmful,0.18144585,0.18806975,0.18144585,3.174838608,2.992791987,3.25306126,Negative,0,0,oppose
15,but now a new study suggests that the healthier electronic cigarette alternative may not be as harmless for you after all,0.18144882,0.18807554,0.18144882,4.313776651,4.012565029,4.305841958,Neutral,0,0,oppose
16,"in 45 of 50 states , e cigarette use is not strictly outlawed at smoke free venues , but in many areas there is a movement to change that",0.18145038,0.18807258,0.18145038,3.665081725,3.365873249,3.314567499,Negative,0,0,neutral
17,"a 2014 review found higher levels of carcinogens and toxins than in an fda approved nicotine inhaler , suggesting that fda approved devices may deliver nicotine more safely",0.1814516,0.18807268,0.1814516,4.197212922,3.897719572,4.192055241,Positive,0,0,support
18,"about 67 percent of the 128 physicians surveyed indicated e cigarettes are a helpful aid for smoking cessation , 65 percent believe e cigarettes represent a lower risk of cancer than traditional cigarettes , and 35 percent recommended them to their patients",0.1814509,0.18808082,0.1814509,3.559038768,3.531338774,3.463164048,Negative,0,0,support
19,"it is not enough that regular cigarettes pose various health risks , but it looks like e cigarettes may also raise some significant health concerns , according to a new study",0.18144526,0.18806455,0.18144526,3.675890316,3.474852899,3.728337145,Negative,0,0,oppose
20,"since their introduction to the you is market in 2007 , e cigarettes have prompted debate as to their risk in general and relative to cigarettes",0.18144578,0.18806747,0.18144578,2.554317265,2.650066426,2.828528859,Negative,0,0,oppose
21,cigarette smoke contains 1014 free radicals per puff,0.1814481,0.18807617,0.1814481,4.320949228,4.067131746,4.265715826,Negative,0,0,neutral
22,"the number of teens and teens using e cigarettes has grown dramatically , with some now calling it the gateway drug of choice that leads to more addictive behavior",0.18144475,0.18807438,0.18144475,3.959829292,3.666110237,4.052365366,Negative,0,0,oppose
23,"research suggests that v aping may not be as safe as smokers think ,",0.18144998,0.18807915,0.18144998,4.546224952,4.117551141,4.449456525,Negative,0,0,oppose
24,"and many health experts believe that because so little research has been done on e cigarettes , they may pose unknown risks",0.18144816,0.18807074,0.18144816,3.28630731,3.146272413,3.340332146,Negative,0,0,oppose
25,"e cigarettes also make it a lot easier for current smokers to stop smoking , as it provides a similar experience to smoking",0.18144642,0.1880716,0.18144642,3.546940419,3.415546892,3.114580941,Negative,0,0,support
26,better product design and standards could probably be reduce the risks,0.1814482,0.18807332,0.1814482,3.822993902,3.404998348,3.431957415,Positive,0,0,neutral
27,"researchers found that e cigarettes produce high levels of highly reactive harmful free radicals that fall in the range of 1 , 000 to 100 times less than levels in regular cigarettes",0.18144608,0.18807031,0.18144608,3.145547225,2.881673615,3.165181809,Negative,0,0,oppose
28,"a recent review concluded that the vapors are likely safe , but did so based on primarily on a review of chemical analysis of e cigarette vapor",0.18144524,0.18806854,0.18144524,2.775348155,3.220037484,2.888559705,Negative,0,0,support
29,"a previous study suggests when an e cigarette voltage is increased from 3 2v to for 8v it produces almost as much formaldehyde as a regular cigarette , and formaldehyde is a carcinogenic substance",0.18144572,0.18808189,0.18144572,3.060598436,2.959695126,3.200534384,Negative,0,0,oppose
30,"e cigarettes contain less nicotine than cigarettes , but actual nicotine intake by e cigarette users can approximate that of cigarette smokers",0.18144466,0.18807244,0.18144466,2.961954558,2.885082286,2.99792446,Negative,0,0,oppose
31,"previous analysis of e cigarette vapor have identified chemicals that could be toxic or carcinogenic , including particulates , formaldehyde , and volatile organic compounds , but at lower levels than cigarette smoke",0.18145323,0.18808457,0.18145323,3.184086534,3.260029377,3.193332203,Negative,0,0,support
32,"leaked nicotine is a poisoning hazard for the user of electronic cigarettes , as well as others around them , particularly children",0.1814478,0.18807238,0.1814478,4.179770934,3.822749591,4.22512613,Negative,0,0,oppose
33,e cigarettes are electronic devices that are thought to be less harmful to smokers than regular cigarettes,0.18144888,0.18807295,0.18144888,3.003597857,3.023820873,2.964789386,Neutral,0,0,support
34,study of mice finds that e cigarettes generate free radical toxins and may harm the lungs and immune system,0.18144765,0.18806903,0.18144765,4.222766101,3.968641645,4.269947784,Negative,0,0,oppose
35,"electronic or e cigarettes , increasingly popular in recent years , are plastic or metal tubes slightly larger than traditional cigarettes",0.18145144,0.18807898,0.18145144,3.787859367,3.486082679,3.463448819,Positive,0,0,neutral
36,"a 2013 review found , from limited data that safety risk of e cigarettes is similar to that of smokeless tobacco",0.18144445,0.1880661,0.18144445,3.044747429,3.12659077,3.113690349,Negative,0,0,oppose
37,"particularly lacking are long term studies of e cigarette use , obviously because they have only been on the market for less than a decade and only skyrocketed in popularity beginning around five years ago",0.18144928,0.18807521,0.18144928,3.857749282,3.439626051,3.524261352,Negative,0,0,neutral
38,"however , a team of american researchers reported later that e cigarettes cannot help stop smoking , on the other hand , can turn youngsters into dual smokers , making them smoke more nicotine",0.18144926,0.18807891,0.18144926,3.378948922,3.035087314,2.954260987,Neutral,0,0,neutral
39,"a study released the centers for disease control and prevention ( cdc ) found that about 21 of adults who smoke traditional cigarettes had used e cigarettes in 2011 , compared with about 10 percent in 2010",0.18144454,0.18806066,0.18144454,3.463712077,3.198227082,3.278977554,Negative,0,0,neutral
40,"as our study shows , e cigarettes contain flavoring chemicals that can cause lung damage",0.181448,0.18807693,0.181448,3.059576945,2.731718362,3.225295905,Negative,0,0,oppose
41,the adverse effects of e cigarettes on people with cancer is unknown,0.1814456,0.18807355,0.1814456,3.632651695,3.380588183,3.64398803,Negative,0,0,neutral
42,"while some argue that vapor offers health advantages over traditional cigarette smoke , regulatory agencies and some health experts are n't so sure that 's true",0.18144806,0.18808065,0.18144806,3.232243304,3.219207647,3.336586036,Negative,0,0,oppose
43,"the uk action on smoking and health found that in 2015 , compared to the year before , there has been a growing false belief that electronic cigarettes could be as harmful as smoking",0.18144551,0.18807739,0.18144551,2.721459358,2.893191069,2.895969903,Negative,0,0,oppose
44,"there are safety issues with the nicotine exposure from e cigarettes , which may cause addiction and other adverse effects",0.18144675,0.18806764,0.18144675,3.944373281,3.57777211,3.949624151,Negative,0,0,oppose
45,sales of electronic cigarettes have risen dramatically in recent years,0.18144779,0.18807375,0.18144779,3.532993898,2.957959536,2.891153271,Negative,0,0,neutral
46,"the 2015 public health england report looking at the research concluded that by applying maximum power and increasing the time the device is used on a puffing machine , e liquids can thermally degrade and produce high levels of formaldehyde , a carcinogenic substance",0.18143985,0.18806739,0.18143985,3.025143082,3.000763872,3.192699908,Negative,0,0,oppose
47,"daily use of e cigarettes while smoking appears to be associated with subsequent increases in rates of attempting to stop smoking and reducing smoking , but not with smoking cessation",0.18144625,0.18807487,0.18144625,2.969154989,2.653588886,2.364632983,Negative,0,0,neutral
48,there is a small risk of battery explosion in e cigarette devices modified to increase battery power,0.18144533,0.18807265,0.18144533,3.758603765,3.476663583,3.764784109,Positive,0,0,oppose
49,the food and drug administration is expected to propose regulations for e cigarettes by the end of this month,0.18144846,0.18807021,0.18144846,2.891830565,2.193097959,2.518347721,Negative,0,0,neutral
50,"that difference is crucial for smokers contemplating a switch to v aping , because it means they can avoid the myriad toxins and carcinogens generated by tobacco combustion , thereby dramatically reducing the health hazards they face",0.18144862,0.18807186,0.18144862,4.143032891,4.117638824,3.873979557,Negative,0,0,support
51,"study shows , e cigarettes wo n't help you quit smoking",0.18145111,0.18807936,0.18145111,2.898731006,2.635562992,2.778707863,Negative,0,0,neutral
52,"a group of experts attending the e cigarette summit at the royal society in london , last month claimed that switching from traditional to electronic cigarettes could help reduce smoking related deaths across the world",0.18144351,0.18805397,0.18144351,3.621173405,3.69269456,3.476776514,Negative,0,0,support
53,"the e cigarette device itself could contribute to the toxicity from the tiny amounts of silicate and heavy metals found in the liquid and vapor , because they have a metal parts that come in contact with the e liquid",0.18144636,0.18806885,0.18144636,3.945880696,3.671332666,3.991656048,Negative,0,0,oppose
54,"while the health consequences of long term e cigarette use are still unknown , evidence to date suggests there are few if any health consequences",0.18144783,0.1880814,0.18144783,3.848619457,3.720595936,3.7095439,Negative,0,0,support
55,"a harvard study claiming most e cigarette brands expose users to harmful chemicals omits critical information and exaggerates the risks of flavored e cigarettes , according to tobacco control experts",0.18144818,0.18806754,0.18144818,3.028263875,3.249891283,3.001551035,Negative,0,0,support
56,"earlier this year , the research showed that e cigarette users were anywhere between five and 15 times more likely to contract formaldehyde related cancer than regular cigarette smokers",0.18145233,0.18807627,0.18145233,2.989849539,2.814706793,3.143146558,Negative,0,0,oppose
57,many are similar enough in appearance to be mistaken for regular tobacco cigarettes,0.1814491,0.18807697,0.1814491,3.989392932,3.670767055,3.712343834,Neutral,0,0,neutral
58,a 2014 review stated that there are concerns about pregnant women exposure to e cigarette vapor through direct use or via exhaled vapor,0.18144602,0.18807022,0.18144602,3.826338779,3.724115798,3.891198912,Negative,0,0,oppose
59,"in october 2012 , the world medical association stated , manufacturers and marketers of e cigarettes often claim that use of their products is a safe alternative to smoking , particularly since they do not produce carcinogenic smoke",0.18144628,0.18805446,0.18144628,3.939882731,3.788160114,3.764453694,Negative,0,0,support
60,"the study says that while diacetyl is safe when ingested as a component of foods and spirits , it can be hazardous when inhaled over an extended period , according to the united states national institute of occupational safety and health",0.18144655,0.18807325,0.18144655,3.962096649,3.608973107,4.184380791,Negative,0,0,oppose
61,"prenatal exposure has been associated with obesity , diabetes , high cholesterol and high blood pressure in minors",0.18144852,0.18807603,0.18144852,3.654802763,3.472842604,3.915480663,Negative,0,0,oppose
62,"diacetyl , a flavoring chemical linked to cases of severe respiratory disease , was found in more than 75 percent of flavored electronic cigarettes and refill liquids tested by researchers at harvard",0.1814454,0.1880721,0.1814454,4.268829942,3.894963427,4.419331504,Negative,0,0,oppose
63,what studies the fda has done have focused on limited lab studies of certain sample products on which they found significant quality control issues in the way these items are manufactured,0.1814469,0.18807212,0.1814469,3.468870766,3.196829448,3.547046869,Negative,0,0,oppose
64,"as of 2015 , the long term issues of e cigarettes on both mother and unborn baby are unknown",0.18145102,0.18807958,0.18145102,4.799314323,4.444988244,4.750076507,Negative,0,0,oppose
65,e cigarettes are battery powered devices that heat a liquid nicotine solution in a disposable cartridge and create a vapor that is inhaled,0.18144788,0.18807189,0.18144788,3.489609034,3.013233505,3.18128441,Negative,0,0,neutral
66,there is no long term research concerning the cancer risk related to the small level of exposure to the identified carcinogens that may be in e cigarette vapor,0.18144655,0.18807551,0.18144655,3.950147165,3.646553225,3.957966394,Negative,0,0,neutral
67,choking on e cigarette components is also a potential hazard,0.18144664,0.18806916,0.18144664,4.457048329,4.168193585,4.432741565,Negative,0,0,oppose
68,"some batteries are not well designed , are made with poor quality components , or have defects",0.1814453,0.18807119,0.1814453,3.649047698,2.878914105,2.961433065,Negative,0,0,neutral
69,"there are currently more than 7 , 000 varieties of flavored e cigarettes and e juice ( nicotine containing liquid that is used in refillable devices ) on the market",0.18144631,0.18805982,0.18144631,3.701060395,3.354285875,3.646373286,Negative,0,0,neutral
70,"inhaling vapors of diacetyl , a chemical that is used to flavor e cigarette products such as cotton candy and many others , may lead to a respiratory disease called bronchiolitis obliterans",0.18144694,0.18806712,0.18144694,3.626882704,3.330901209,3.772959076,Negative,0,0,oppose
71,"in fact , some e cigarettes contain nicotine levels comparable to those in regular cigarettes",0.18144763,0.18807225,0.18144763,2.546937614,2.516831883,2.779233435,Negative,0,0,oppose
72,"e cigarettes , hookahs and cigars are safe alternatives",0.18144593,0.18807006,0.18144593,2.457457684,2.775038205,2.216278381,Negative,0,0,support
73,concerns about the carcinogenicity of e cigarettes arise from both nicotine and from other chemicals that may be in the vapor,0.18144721,0.18807617,0.18144721,3.13885457,2.986398528,3.241801591,Negative,0,0,oppose
74,"given that e cigarettes are being touted as a replacement for smoking and thus presumably for long term use rather than short term use as a tool to quit smoking , this is a rather glaring problem",0.18145356,0.18808119,0.18145356,3.726338069,3.486528606,3.674042731,Negative,0,0,oppose
75,the fda does not currently regulate e cigarettes,0.18144554,0.18807252,0.18144554,3.52356264,3.289147451,3.455225358,Negative,0,0,neutral
76,"there is no serious scientific dispute on this point , although people who should know better often pretend otherwise",0.18144764,0.18807128,0.18144764,4.246528652,3.792865451,3.513268055,Negative,0,0,neutral
77,"e cigarette alarmists like to cite cdc survey data indicating that e cigarette use among students doubled in the last year , as 40 state attorneys general noted last month in a letter to the fda",0.18146062,0.18809716,0.18146062,3.391974163,3.040837954,2.921505535,Negative,0,0,neutral
78,researchers tested 51 e cigarette flavorings and found chemicals linked to lung disease in 47 of them,0.18144868,0.18807694,0.18144868,3.710621092,3.428650092,3.788198375,Negative,0,0,oppose
79,"e cigarettes , which at their simplest consist of a battery , an atomizer and a cartridge , produce a vapor that is inhaled and then exhaled by the user",0.18144742,0.18807288,0.18144742,3.463996389,3.100474866,3.12291939,Negative,0,0,neutral
80,greek researchers found last year in a different study that diacetyl is found in 70 of european e cigarette brands,0.18144734,0.18807752,0.18144734,3.55761187,3.392222306,3.809143693,Neutral,0,0,oppose
81,"e cigarettes are not currently regulated , although the you is food and drug administration ( fda ) has issued a proposed rule to include e cigarettes under its authority to regulate certain tobacco and nicotine containing products",0.18144926,0.18807581,0.18144926,3.046093173,2.56600211,2.843572542,Negative,0,0,neutral
82,"a study in the journal addiction , published in june , found that the vapor used in e cigarettes can contain some of the toxicants present in tobacco smoke , but at levels which are much lower",0.18144523,0.18807556,0.18144523,2.702649937,2.912019034,2.69665349,Positive,0,0,support
83,the levels were above that of nicotine replacement product users,0.18144758,0.18807553,0.18144758,4.118980574,3.650241059,4.004736608,Negative,0,0,neutral
84,"the report said , some studies have found that bystanders absorb more nicotine from vapor than from tobacco smoke",0.18144867,0.18807572,0.18144867,3.488949051,3.196711004,3.380900424,Positive,0,0,oppose
85,"though e cigarette vapor contains far fewer free radicals than cigarette smoke 1 percent as much their presence in e cigarettes still suggests potential health risks that merit further study , the researchers say",0.18145448,0.18808354,0.18145448,3.250986962,3.383038411,3.18003684,Negative,0,0,support
86,scientific studies advocate caution before designating e cigarettes as beneficial but va per s continue to believe they are beneficial,0.18144444,0.1880697,0.18144444,3.398933566,3.530270177,3.436887916,Negative,0,0,support
87,"but the tobacco product label does not really fit either , because e cigarettes do not contain any tobacco , delivering nicotine in a propylene glycol vapor instead of burning dried vegetable matter",0.18144709,0.18807723,0.18144709,3.949121225,3.571448986,3.753921413,Negative,0,0,neutral
88,"many people are using e cigarettes to help stop smoking , but the devices have not yet been regulated in the same way as products like nicotine patches",0.18144454,0.18807063,0.18144454,3.530845949,3.19115094,3.251843163,Negative,0,0,neutral
89,e cigarette battery explosions are caused by an increase in internal battery temperature and some have resulted in severe skin burns,0.18144771,0.18807054,0.18144771,3.945274967,3.467079377,3.82226778,Negative,0,0,oppose
90,"all tobacco products , including e cigarettes and hookahs , have nicotine , whose highly addictive properties make these products harmful",0.18144588,0.18807504,0.18144588,3.428947914,3.139239642,3.238833505,Negative,0,0,neutral
91,"not all e cigarettes use propylene glycol as the vaporizing agent ( for example , blue e cigarettes use vegetable glycerin instead ) , although many do , along with flavors designed to make the vapor more pleasant and attractive , such as menthol , vanilla , cherry , coffee bean , chocolate , apple , and , yes , various kinds of tobacco",0.18144293,0.18806729,0.18144293,4.278869529,3.881226702,3.951900775,Negative,0,0,neutral
92,"normal usage of e cigarettes generates very low levels of formaldehyde , a substance believed to be carcinogenic",0.1814475,0.18807888,0.1814475,3.863299594,3.663773217,3.89490521,Negative,0,0,support
93,"after that effort was blocked by a federal judge and an appeals court , the agency announced that it would instead regulate e cigarettes as tobacco products",0.18144614,0.18807563,0.18144614,2.469370714,1.969141676,1.720375522,Negative,0,0,neutral
94,"most e cigarette surveys have reported successful reduction in smoking and benign side effects , such as dry mouth , throat irritation , dry cough , vertigo , headache , and nausea",0.18145297,0.18807442,0.18145297,4.582631657,4.459673848,4.54234515,Negative,0,0,support
95,va per s could be at risk of developing the deadly disease popcorn lung after scientists found a toxic chemical in 75 per cent of flavored electronic cigarettes,0.18145113,0.18807563,0.18145113,3.96042964,3.843713052,4.134124076,Negative,0,0,oppose
96,rare major injuries have occurred from battery explosions and fires,0.18144414,0.18806821,0.18144414,3.637215662,3.098628386,3.016054835,Negative,0,0,neutral
97,a 2014 cochrane review found no serious adverse effects from e cigarette have been reported in trials,0.18144774,0.18806973,0.18144774,3.078895376,3.292005188,3.180347844,Negative,0,0,support
98,"many scientists , such as those working with public health england , therefore think the risks are likely to be low and certainly much lower than with normal cigarettes",0.1814462,0.18807681,0.1814462,2.739853317,3.124171749,2.623013552,Negative,0,0,support
99,"unlike cigarette smoke , nearly all of the nicotine is absorbed in v aping",0.18144533,0.18806553,0.18144533,2.972314578,2.950025878,2.802676185,Negative,0,0,neutral
100,"smoking cigarettes is known to cause damage to every organ in your body , and smoking related illnesses are responsible for one out of every five deaths in the you is",0.1814457,0.18807465,0.1814457,4.085776372,3.844002974,4.037656044,Negative,0,0,neutral
101,"although studies show only 15 of american is regularly smoke , the emergence of e cigarettes and v aping has taken the smoking industry by storm",0.18144651,0.18807292,0.18144651,3.672716344,3.329538033,3.416041502,Negative,0,0,neutral
102,"formaldehyde is a known to cause coughing , wheezing , irritation , and cancer",0.18144682,0.18807459,0.18144682,4.098525966,3.780663228,4.238294051,Negative,0,0,oppose
103,"electronic cigarette use is growing at a significant rate globally , particularly among young people major tobacco companies now own and promote major electronic cigarette brands",0.1814495,0.1880722,0.1814495,3.726866632,3.325465228,3.327747269,Negative,0,0,neutral
104,"the build up of fatty deposits in the artery wall reduces blood flow , causing blood clots , heart failure , strokes , high blood pressure , renal failure , leg pains and aneurysm ( swelling of blood vessels )",0.18142961,0.1880439,0.18142961,4.847543487,4.23288686,4.423779221,Negative,0,0,neutral
105,some public health experts have welcomed e cigarettes as a way to prevent young people from starting to smoke traditional tobacco cigarettes and to help longtime smokers give up the habit entirely,0.18144926,0.18806261,0.18144926,4.159883226,4.024127747,4.006276823,Neutral,0,0,support
106,there is no conclusive evidence to support that v aping can be any more effective at helping a traditional smoker quit than traditional nicotine replacement therapies such as patches and gums,0.18144369,0.18806566,0.18144369,4.715384532,4.28957226,4.4506054,Negative,0,0,neutral
107,the long term effects of e cigarette use are unknown,0.1814459,0.18807217,0.1814459,3.287180681,3.068184543,3.27299894,Negative,0,0,neutral
108,"in a relatively short period of times , selling e cigarettes has become big business",0.18144782,0.18807107,0.18144782,4.326211296,4.06254438,4.193439162,Positive,0,0,neutral
109,"while they are likely less harmful than tobacco cigarettes , e cigarettes cannot be regarded as harmless",0.1814486,0.1880759,0.1814486,3.941227737,3.77447516,3.898594636,Negative,0,0,support
110,there really is a dearth of evidence one way or the other regarding the safety of e cigarettes,0.18144819,0.18807198,0.18144819,3.100033398,2.947752588,3.236113148,Negative,0,0,oppose
111,"boston university public health professor michael siegel , who supports v aping as a harm reducing alternative to smoking , notes that we actually have a much better idea what is in electronic cigarette vapor than what is in tobacco smoke",0.18143708,0.18804981,0.18143708,3.400390758,3.441519939,3.094822604,Negative,0,0,support
112,"there is little data about their health effects , and considerable variability between vaporizers and in quality of their liquid ingredients and thus the contents of the aerosol delivered to the user",0.18144855,0.18806972,0.18144855,3.540464192,3.004020985,3.205347341,Negative,0,0,neutral
113,making definitive statements about the safety or efficacy of e cigarettes is not an evidence based stance,0.18144673,0.18807262,0.18144673,3.893505993,3.532227849,3.827075458,Negative,0,0,oppose
114,"the harvard school of public health study found that flavoring chemicals used in v aping products can result in cases of lymphocytic bronchiolitis , also known as popcorn lung , an irreversible condition previously identified in workers at microwave popcorn plants",0.18145266,0.18808194,0.18145266,4.670125915,4.273512291,4.665081888,Negative,0,0,oppose
115,"dr michael katz said the fda should regulate e cigarettes as a drug delivery device , and that e cigarettes should not be allowed to be used in public places where traditional cigarettes has been banned",0.18144897,0.1880724,0.18144897,3.56926656,3.341307413,3.271081536,Negative,0,0,neutral
116,"while e cigarette vapor does not contain many of the toxic substances that are known to be present in cigarette smoke , it 's still important for us to figure out and to minimize the potential dangers that are associated with e cigarettes",0.1814409,0.18805532,0.1814409,2.993734401,3.144800336,2.946487862,Negative,0,0,support
117,the increased risk of popcorn lung could add to the debate over e cigarettes and restriction of their use,0.18144888,0.18807392,0.18144888,3.102475454,2.974546707,3.340768871,Negative,0,0,oppose
118,the condition is sometimes called popcorn lung because over ten years ago it was discovered in workers who inhaled artificial butter flavor in microwave popcorn processing facilities,0.18144871,0.18808444,0.18144871,4.734962993,4.146729068,4.368758814,Negative,0,0,neutral
119,there are also concerns that their candy and fruit flavors may appeal to youths and put them at risk of addiction,0.18144673,0.18807213,0.18144673,3.300759031,2.792617417,2.926079366,Negative,0,0,neutral
120,"health canada has stated that , their safety , quality , and efficacy remain unknown",0.18144645,0.18807192,0.18144645,3.404221626,2.676488729,2.798423329,Positive,0,0,neutral
121,"the canadian cancer society has stated that , a few studies have shown that there may be low levels of harmful substances in some e cigarettes , even if they denial of normal t have nicotine",0.18144886,0.18807998,0.18144886,3.084195812,3.057612701,3.239435627,Negative,0,0,oppose
122,"even the us centers for disease control and prevention , which recently cited increased consumption of e cigarettes while urging the fda to regulate them , concedes that e cigarettes appear to have far fewer of the toxins found in smoke compared to traditional cigarettes",0.181443,0.18805975,0.181443,3.099466589,3.219852618,2.961483829,Negative,0,0,support
123,the perception that e cigarettes pose little health risk is so entrenched that some smokers are switching from cigarettes to e cigarettes,0.18144345,0.18806589,0.18144345,2.257735307,2.58998249,2.204445999,Negative,0,0,support
124,"studies showed the formaldehyde levels can ultimately cause a cancer , commonly referred to as popcorn lung",0.18144839,0.18806988,0.18144839,3.310367328,2.998229849,3.56255691,Negative,0,0,oppose
125,e cigarettes use poses serious threats to adolescents and fetuses,0.181447,0.18807557,0.181447,3.993505235,3.711229505,3.912834057,Negative,0,0,oppose
126,"long term health effects of e cigarettes are unknown , but compared with cigarettes , they are likely to be much less , if at all , harmful to users or bystanders , the researchers said in the study in addiction",0.1814457,0.18806328,0.1814457,3.965328007,3.719566169,3.929699574,Negative,0,0,support
127,poison center calls in the us related to e cigarettes was one call per month in september 2010 to over 200 calls per month in february 2014,0.1814491,0.18806283,0.1814491,3.71950242,3.52758364,3.899878533,Neutral,0,0,oppose
128,harvard researchers have looked closely at some of the other chemicals found in e cigarette liquids and have connected one of them to a deadly lung disease,0.18144758,0.18807012,0.18144758,3.520652739,3.292875704,3.698591967,Negative,0,0,oppose
129,they get rid of the 4000 other carcinogenic chemicals included in every traditional cigarette,0.181447,0.18807234,0.181447,3.817587812,3.768172313,3.769889697,Negative,0,0,support
130,"a few years ago , ignoring that danger , the fda sought to ban e cigarettes as approved pharmaceutical products",0.1814458,0.18806843,0.1814458,4.264352685,3.848546753,3.967400674,Negative,0,0,neutral
131,e cigarettes work by heating a nicotine containing liquid to create a vapor that users inhale,0.1814447,0.18806769,0.1814447,3.057628258,2.783040063,2.740422731,Negative,0,0,neutral
132,"the e liquid in e cigarette has a low level of toxicity , and contamination with various chemicals has been identified in the product",0.18144858,0.18808122,0.18144858,2.949388885,2.94427093,3.104747371,Negative,0,0,oppose
133,"but the world health organization , the london school of hygiene and tropical medicine and the university of liverpool are concerned about the safety of e cigarettes",0.18144469,0.18807283,0.18144469,2.808776161,2.661548716,2.396284272,Negative,0,0,neutral
134,"new research reported in the new england journal of medicine on jan 22 indicates that vapor produced by electronic cigarettes can contain a surprisingly high concentration of formaldehyde , a known carcinogen to which long term exposure is a recognized cause of lung cancer !",0.18145657,0.18807419,0.18145657,3.454634725,3.257597534,3.500443358,Negative,0,0,oppose
135,researchers found that e cigarettes operated at high voltages produce vapor with large amounts of formaldehyde containing chemical compounds,0.18144703,0.18806258,0.18144703,3.240809002,2.849577631,3.093395304,Negative,0,0,neutral
136,"despite all the uncertainty , on the one side we see anti tobacco activists proclaiming e cigarettes to be potentially harmful and gateway drugs to children leading to the use of real tobacco ,",0.1814421,0.18805973,0.1814421,2.476871089,2.643468257,2.72222019,Neutral,0,0,oppose
137,the battery operated e cigarette devices have been marketed as an alternative to traditional cigarettes,0.18144844,0.18807122,0.18144844,3.27244724,3.009513826,3.013997908,Negative,0,0,neutral
138,"although short term studies of e cigarettes appear not to have found any evidence of significant harms , there are currently no solid long term data regarding the effects of inhaling the vapors produced by e cigarettes",0.18144399,0.18807301,0.18144399,3.740807734,3.535278925,3.697525882,Negative,0,0,support
139,"in january 2015 the you is federal aviation administration issued a safety alert to air carriers that e cigarettes should not be allowed in checked baggage after a review of fire safety issues , including two fires caused by e cigarettes in checked baggage",0.181453,0.18811446,0.181453,3.45392375,3.282050464,3.590880458,Negative,0,0,oppose
140,"a 2014 systematic review concluded that the risks of e cigarettes have been exaggerated by health authorities and stated that while there may be some remaining risk , the risk of e cigarette use is likely small compared to smoking tobacco",0.18144667,0.1880754,0.18144667,2.548490037,2.860038385,2.567118738,Negative,0,0,support
141,"the uk national health service noted that the toxic chemicals found by the fda in e cigarettes were at levels one thousandth that of cigarette smoke , and that while there is no certainty that these small traces are harmless , initial test results are reassuring",0.18145093,0.18809608,0.18145093,3.582185772,3.663510305,3.585736051,Negative,0,0,support
