Tweet,Stance,Index,Original Tweet
"it recommended that if symptoms of a cold do start , you should take 500 or 1 , 000 mg every hour for several hours",FAVOR,113,"It recommended that if symptoms of a cold do start, you should take 500 or 1,000 mg every hour for several hours."
"the authors say that the clinical significance of this minor reduction is questionable , although the consistency of these findings points to a genuine biological effect",AGAINST,2,"The authors say that the clinical significance of this minor reduction ""is questionable, although the consistency of these findings points to a genuine biological effect."""
"as we 've shown , the research on vitamin see as a sickness fixer is mixed , though many professionals maintain that it 's not an effective treatment for the sniffles",NONE,104,"As we've shown, the research on vitamin C as a sickness-fixer is mixed, though many professionals maintain that it's not an effective treatment for the sniffles."
"even if it does shorten the duration of colds or lessen the symptoms , the benefits aren t dramatic",AGAINST,76,"Even if it does shorten the duration of colds or lessen the symptoms, the benefits aren�t dramatic."
"the book 's main claim was that taking 1 gram ( 1 , 000 mg ) of vitamin see daily would reduce the incidence of colds by 45 for most people , but that some persons might need much larger amounts",FAVOR,112,"The book's main claim was that taking 1 gram (1,000 mg) of vitamin C daily would reduce the incidence of colds by 45% for most people, but that some persons might need much larger amounts."
"however , some physicians recommend taking several grams a day in divided doses at the first sign of a scratchy throat or stuffy nose",FAVOR,146,"However, some physicians recommend taking several grams a day in divided doses at the first sign of a scratchy throat or stuffy nose."
"while the results of this study should be interpreted with caution considering that the data was based upon self reported cases of the cold , it nonetheless demonstrates the protective effect of vitamin see upon the frequency of catching the common cold",FAVOR,158,"While the results of this study should be interpreted with caution considering that the data was based upon self-reported cases of the cold, it nonetheless demonstrates the protective effect of Vitamin C upon the frequency of catching the common cold."
"a lot has changed in the past 70 years , and as the popularity of vitamin see continues to escalate , there seems to be more and more confusion regarding how much of it we should be taking",NONE,96,"A lot has changed in the past 70 years, and as the popularity of Vitamin C continues to escalate, there seems to be more and more confusion regarding how much of it we should be taking."
experimental studies of the possible value of vitamin see in the prevention of infections have been conducted by medical investigators ever since preparations of the pure crystalline vitamin became commercially available during the 1930s,NONE,117,Experimental studies of the possible value of vitamin C in the prevention of infections have been conducted by medical investigators ever since preparations of the pure crystalline vitamin became commercially available during the 1930s.
"a series of investigations regarding whether or not vitamin see has a significant impact upon fighting off the common cold began in 1970 with the book , vitamin see and the common cold , by linus pauling",NONE,147,"A series of investigations regarding whether or not Vitamin C has a significant impact upon fighting off the common cold began in 1970 with the book,�Vitamin C and the Common Cold, by Linus Pauling."
subjects who received vitamin see pills took approximately 30 fewer disability days off from work compared to those who did not take the pills,FAVOR,181,Subjects who received vitamin C pills took approximately 30 fewer disability days off from work compared to those who did not take the pills.
the vitamin appears to inhibit bacterial growth,NONE,224,The vitamin appears to inhibit bacterial growth.
"as you can see , the potential downsides to taking vitamin see supplements are greater than the benefits of doing so",NONE,74,"As you can see, the potential downsides to taking vitamin C supplements are greater than the benefits of doing so."
"thus , in this test , vitamin see neither prevented colds nor shortened their duration",AGAINST,127,"Thus, in this test, vitamin C neither prevented colds nor shortened their duration ."
"research has found no evidence that vitamin see prevents colds , says dr has muk h joshi , vice chair of the royal college of gps",AGAINST,29,"""Research has found no evidence that vitamin C prevents colds,"" says Dr Hasmukh Joshi, vice-chair of the Royal College of GPs."
vitamin see is also proving to be friendly to the heart and arteries,NONE,225,Vitamin C is also proving to be friendly to the heart and arteries.
"to summarize , while large doses of vitamin see are probably not effective for reducing incidence of cold , deficiencies can make you more susceptible",AGAINST,202,"To summarize, while large doses of vitamin C are probably not effective for reducing incidence of cold, deficiencies can make you more susceptible."
"american academy of nurse practitioners suggests it could be effective at reducing the duration of a cold , but not its severity",FAVOR,244," American Academy of Nurse Practitioners suggests it could be effective at reducing the duration of a cold, but not its severity."
pauling promoted the idea that large megadoses of vitamin see could reduce both the duration and severity of the common cold,FAVOR,148,Pauling promoted the idea that large megadoses of Vitamin C could reduce both the duration and severity of the common cold.
"however , in five studies of people under extreme physical stress , like marathon runners and skiers , taking vitamin see appeared to reduce the occurrence of the common cold",FAVOR,266,"However, in five studies of people under extreme physical stress, like marathon runners and skiers, taking vitamin C appeared to reduce the occurrence of the common cold."
"those taking the vitamin experienced , on average , a 50 reduction in common cold incidence",FAVOR,5,"Those taking the vitamin experienced, on average, a 50% reduction in common cold incidence."
"also , the vast majority of reputable medical and nutritional scientists strongly disagree with him",AGAINST,116,"Also, the vast majority of reputable medical and nutritional scientists strongly disagree with him."
more research is needed to evaluate the benefits or harms of taking mega doses of vitamin see as a treatment once a cold has started,NONE,56,More research is needed to evaluate the benefits or harms of taking mega-doses of vitamin C as a treatment once a cold has started.
"they found that the incidence of the common cold for the low dose group ( 9 too ) was higher than that for the high dose group ( 3 too ) , suggesting that a higher daily dose of vitamin see influences a lower incidence of the common cold ( as we would expect by now )",FAVOR,157,"They found that the incidence of the common cold for the low-dose group (9.2%)�was higher than that for the high-dose group (3.2%), suggesting that a higher daily dose of Vitamin C influences a lower incidence of the common cold (as we would expect by now)."
"in one study , subjects in a high stress subgroup who took vitamin see supplements experienced a 50 percent reduction in incidence of the common cold",FAVOR,183," In one study, subjects in a high-stress subgroup who took vitamin C supplements experienced a 50 percent reduction in incidence of the common cold."
"although not consistent , the evidence as a whole , suggests linus pauling was wrong and if there is a benefit to taking vitamin see for cold prevention , it is small",AGAINST,65,"Although not consistent, the evidence as a whole, suggests Linus Pauling was wrong and if there is a benefit to taking vitamin C for cold prevention, it�s small."
a study by scientists from the university of helsinki suggests that vitamin see is most effective for active people who exercise regularly by helping reduce sniffles and the amount of time a cold lasts,FAVOR,165,A study by scientists from the University of Helsinki suggests that vitamin C is most effective for active people who exercise regularly by helping reduce sniffles and the amount of time a cold lasts.
"and if they did get a cold , it was of shorter duration and less severe than those in the placebo group",FAVOR,85,"And if they did get a cold, it was of shorter duration and less severe than those in the placebo group."
"by the mid 1970s , an estimated 50 million americans were using vitamin see to treat colds , and drugstore sales of vitamin see products had quadrupled",NONE,180,"By the mid-1970s, an estimated 50 million Americans were using vitamin C to treat colds, and drugstore sales of vitamin C products had quadrupled."
"traditional remedies like echinacea , ginseng , vapor rubs and cough medicine were found to have no clear benefits while antibiotics were likely to cause more harm than good , the researchers concluded",NONE,12,"Traditional remedies like echinacea, ginseng, vapour rubs and cough medicine were found to have no clear benefits while antibiotics were likely to cause more harm than good, the researchers concluded."
"there are over 200 viruses that are associated with the common cold and it affects people worldwide , not just those living in wintry places",NONE,35,"There are over 200 viruses that are associated with the common cold and it affects people worldwide, not just those living in wintry places."
"vitamin see may provide benefit for people at high risk of colds due to frequent exposure for example , children who attend group child care during the winter",FAVOR,28,"Vitamin C may provide benefit for people at high risk of colds due to frequent exposure: for example, children who attend group child care during the winter."
"if you take at least 0 too grams of vitamin see every day , you 're not likely to have fewer colds , but they may end a day or two quicker",FAVOR,211,"If you take at least 0.2 grams of vitamin C every day, you're not likely to have fewer colds, but they may end a day or two quicker."
"anderson 's second trial in 1974 revealed 250 mg of vitamin per day reduced severity of cold as much as did 1 , 000 mg or for , 000 mg",NONE,139,"Anderson's second trial in 1974 revealed 250 mg of vitamin per day reduced severity of cold as much as did 1,000 mg or 4, 000 mg ."
should we take vitamin see to help once a cold has started ?,NONE,51,Should we take vitamin C to help once a cold has started?
"this collagen acts as the stabilizing tissue in the bone , muscle and skin",NONE,95,"This collagen acts as the stabilizing tissue in the bone, muscle and skin."
vitamin see has long been touted for its supposed ability to treat the common cold,NONE,175,Vitamin C has long been touted for its supposed ability to treat the common cold.
"basically , if you take vitamin see , you will get just as many colds as you did before but they may be slightly less severe and last for a slightly shorter time period",FAVOR,273,"Basically, if you take Vitamin C, you�ll get just as many colds as you did before but they may be slightly less severe and last for a slightly shorter time period."
an examination of the scientific evidence based on humans will help us assess the value of using vitamin see for preventing and treating the common cold,NONE,41,An examination of the scientific evidence based on humans will help us assess the value of using vitamin C for preventing and treating the common cold.
"but many of pauling 's more dramatic claims were not borne out in research done since then , and by the time he died in 1994 , some in the medical establishment had labeled him a quack",NONE,240,"But many of Pauling's more dramatic claims were not borne out in research done since then, and by the time he died in 1994, some in the medical establishment had labeled him a quack."
"in fact , at least 15 other studies can corroborate the results published by university of toronto researchers , debunking the vitamin see myth by uncovering evidence against it",AGAINST,184,"In fact, at least 15 other studies can corroborate the results published by University of Toronto researchers, debunking the vitamin C myth by uncovering evidence against it."
the recipients were nonsmoking men testing negative for antibodies to the rv 16 type cold virus,NONE,136,The recipients were nonsmoking men testing negative for antibodies to the RV16 type cold virus.
"in most cases , vitamin see supplements wo n't help prevent colds",AGAINST,26," In most cases, vitamin C supplements won't help prevent colds."
"a meta analysis that examined 29 trials in a total of 11 , 306 participants revealed that supplementing with 200 mg or more of vitamin see did not reduce frequency of colds",AGAINST,271,"A meta-analysis that examined 29 trials in a total of 11,306 participants revealed that supplementing with 200mg or more of Vitamin C did NOT reduce frequency of colds ."
"dr thomas chambers concluded in 1975 i , who have colds as often and as severe as those of any man , do not consider the very minor potential benefit that might result from taking vitamin see three times a day for life worth either the effort or the risk , no matter how slight the latter might be",AGAINST,141,"Dr. Thomas Chalmers concluded in 1975: ""I, who have colds as often and as severe as those of any man, do not consider the very minor potential benefit that might result from taking vitamin C three times a day for life worth either the effort or the risk, no matter how slight the latter might be."""
"if you take at least 0 too grams of vitamin see every day , you 're not likely to have fewer colds , but they may end a day or two quicker",FAVOR,167,"If you take at least 0.2 grams of vitamin C every day, you're not likely to have fewer colds, but they may end a day or two quicker."
the researchers conclude that the lack of effect of prophylactic vitamin see supplementation on the incidence of common cold in normal populations throws doubt on the utility of this wide practice,AGAINST,0,"The researchers conclude that ""the lack of effect of prophylactic vitamin C supplementation on the incidence of common cold in normal populations throws doubt on the utility of this wide practice."""
"today , the institute of medicine recommends that adult males get 90 milligrams of vitamin see daily in their diet , women get 75 mg daily and children consume between 15 and 75 mg daily , depending on their age and sex",NONE,241,"Today, the Institute of Medicine recommends that adult males get 90 milligrams of vitamin C daily in their diet, women get 75 mg daily and children consume between 15 and 75 mg daily, depending on their age and sex."
"while research abounds , most experts say there is still little proof that increasing vitamin see intake will help cut down on sick days",AGAINST,100,"While research abounds, most experts say there is still little proof that increasing vitamin C intake will help cut down on sick days."
nor does taking large doses slow or stop cancer,NONE,217,Nor does taking large doses slow or stop cancer.
"in general , vitamin see wo n't harm you if you get it by eating food like fruits and veggies",NONE,212,"In general, vitamin C won't harm you if you get it by eating food like fruits and veggies."
"without enough of this antioxidant protection , mostly taken in the form of fruits and vegetables , you will find yourself at a higher health risk for a larger number of diseases and health conditions",NONE,98,"Without enough of this antioxidant protection, mostly taken in the form of fruits and vegetables, you will find yourself at a higher health risk for a larger number of diseases and health conditions."
scientists have taken an interest in vitamin see since the early 1930s,NONE,36,Scientists have taken an interest in vitamin C since the early 1930s.
you need a healthy immune system to fight off cold viruses,NONE,61,You need a healthy immune system to fight off cold viruses.
"a 1999 study published in the journal of manipulative and physiological therapeutics assessed the impact of vitamin see megadoses upon the incidence , duration and severity of the common cold amongst 252 students at a technical training facility in santiago , chile",NONE,150,"A 1999 study published in the Journal of Manipulative and Physiological Therapeutics assessed the impact of Vitamin C megadoses upon the incidence, duration and severity of the common cold amongst 252 students at a technical training facility in Santiago, Chile."
"vitamin see supplementation has also been shown to enhance several physiological aspects of the immune response , but these studies do not prove that vitamin see reduces your susceptibility to the cold",AGAINST,197,"Vitamin C supplementation has also been shown to enhance several physiological aspects of the immune response, but these studies do not prove that vitamin C reduces your susceptibility to the cold."
"there are other measures more likely to have a noticeable effect on colds , such as regular hand washing and getting enough dietary zinc , according to a 2014 study in the canadian medical association journal",AGAINST,255,"There are other measures more likely to have a noticeable effect on colds, such as regular hand-washing and getting enough dietary zinc, according to a 2014 study in the Canadian Medical Association Journal."
"while incidence of cold was not reduced with supplements , the duration of cold does seem to be significantly shortened with additional vitamin see , a feature most of us would take in a heartbeat when feeling under the weather",FAVOR,201,"While incidence of cold was not reduced with supplements, the duration of cold does seem to be significantly shortened with additional vitamin C, a feature most of us would take in a heartbeat when feeling under the weather."
academics who looked back at 67 studies examining the effectiveness of cold prevention and remedies discovered that few live up to the hype,AGAINST,11,Academics who looked back at 67 studies examining the effectiveness of cold preventions and remedies discovered that few live up to the hype.
"of course , there are other potential benefits of vitamin see supplementation and there is a lot of epidemiological evidence suggesting that adequate vitamin see from foods is linked to reduced risk of cardiovascular disease and cancer",NONE,274,"Of course, there are other potential benefits of Vitamin C supplementation and there�s a lot of epidemiological evidence suggesting that adequate Vitamin C from foods is linked to reduced risk of cardiovascular disease and cancer ."
"vitamin see gained its reputation as an almost miraculous substance after two time nobel prize winner linus pauling first touted the benefits of the micronutrient in a series of books , with titles such as vitamin see and the common cold , ( with h",FAVOR,238,"Vitamin C gained its reputation as an almost miraculous substance after two-time Nobel Prize winner Linus Pauling first touted the benefits of the micronutrient in a series of books, with titles such as ""Vitamin C and the Common Cold,"" (W.H."
"however , taking vitamin see before the onset of cold symptoms may shorten the duration of symptoms",FAVOR,27,"However, taking vitamin C before the onset of cold symptoms may shorten the duration of symptoms."
"leading medical advisory groups including the food and drug administration , the american medical association , and the american dietetic association do not recommend supplemental vitamin see to prevent or treat colds",AGAINST,186,"Leading medical advisory groups including the Food and Drug Administration, the American Medical Association, and the American Dietetic Association do not recommend supplemental vitamin C to prevent or treat colds."
"they found six studies in which the vitamin or a placebo was given to marathon runners , skiers and soldiers exposed to significant cold and or physical stress",NONE,4,"They found six studies in which the vitamin or a placebo was given to marathon runners, skiers and soldiers exposed to significant cold and/or physical stress."
two studies of this type found that everyone got colds whether they took vitamin see or not,AGAINST,122,Two studies of this type found that everyone got colds whether they took vitamin C or not.
a daily dose of vitamin see did slightly reduce the length and severity of colds in the ordinary population,FAVOR,32,A daily dose of vitamin C did slightly reduce the length and severity of colds in the ordinary population.
"in addition , many studies show that eating foods rich in see can reduce the risk of developing cancer , particularly cancers that strike the mouth and digestive tract , according to jane higdon , a nutrition scientist at the linus pauling institute at oregon state university",NONE,220,"In addition, many studies show that eating foods rich in C can reduce the risk of developing cancer, particularly cancers that strike the mouth and digestive tract, according to Jane Higdon, a nutrition scientist at the Linus Pauling Institute at Oregon State University."
this concept was made popular in 1970 when nobel prize winner linus pauling recommended taking much more of the vitamin in his book vitamin see and the common cold,NONE,162,This concept was made popular in 1970 when Nobel Prize winner Linus Pauling recommended taking much more of the vitamin in his book Vitamin C and the Common Cold.
"when sickness sets in , many of us immediately turn to vitamin see products such as supplement pills , juices , and cough drops",NONE,176,"When sickness sets in, many of us immediately turn to vitamin C products such as supplement pills, juices, and cough drops."
"alas , neither claim has quite held up under scrutiny",AGAINST,215,"Alas, neither claim has quite held up under scrutiny."
"dr tru swell concluded it is now fairly clear that for preventing colds , vitamin see has no worthwhile effect , but he believed that there is thus a little more evidence for a small therapeutic effect of ascorbic acid ( vitamin see )",AGAINST,138,"Dr. Truswell concluded: ""It is now fairly clear that for preventing colds, vitamin C has no worthwhile effect,"" but he believed that: ""There is thus a little more evidence for a small therapeutic effect of ascorbic acid (vitamin C)."
"back in the 1970s , a small study supported dr pauling is belief that vitamin see wards off colds",FAVOR,62,"Back in the 1970s, a small study supported Dr. Pauling�s belief that vitamin C wards off colds."
"the number of colds per person , the duration of colds and their severity were the same in both vitamin and placebo groups",AGAINST,135,"The number of colds per person, the duration of colds and their severity were the same in both vitamin and placebo groups ."
"in 1979 , dr cou leh an published his analysis of vitamin see versus the common cold and concluded that extra vitamin see is not worth taking",AGAINST,128,"In 1979, Dr. Coulehan published his analysis of vitamin C versus the common cold and concluded that extra vitamin C is not worth taking ."
"however , isaac does n't recommend taking high doses of vitamin see every day only while the cold is active",NONE,268,"However, Isaac doesn't recommend taking high doses of vitamin C every day � only while the cold is active."
"after volunteers ate two or three vitamin see rich kiwis a day for 28 days , platelets in their blood were less likely to clump together and form small blood clots that can jam arteries and lead to heart attack or stroke",NONE,229,"After volunteers ate two or three vitamin-C-rich kiwis a day for 28 days, platelets in their blood were less likely to clump together and form small blood clots that can jam arteries and lead to heart attack or stroke."
"for example , some studies show supplementing with vitamin see before and after extreme physical exertion , like running a marathon , does lower the risk of developing a cold by up to half",FAVOR,70,"For example, some studies show supplementing with vitamin C before and after extreme physical exertion, like running a marathon, DOES lower the risk of developing a cold by up to half."
"last year a study in seoul , south korea , reported higher birth weights among babies born to mothers with high vitamin see levels",NONE,232,"Last year a study in Seoul, South Korea, reported higher birth weights among babies born to mothers with high vitamin C levels."
"since then , study after study has looked at whether or not vitamin see prevents colds with inconsistent results",NONE,64,"Since then, study after study has looked at whether or not vitamin C prevents colds with inconsistent results."
"the review found that people who do regular and intense physical exercise in cold weather ( soldiers , skiers , marathon runners ) and take vitamin see regularly did have a 48 decrease in the frequency of colds",FAVOR,44,"The review found that people who do regular and intense physical exercise in cold weather (soldiers, skiers, marathon runners) and take vitamin C regularly did have a 48% decrease in the frequency of colds."
vitamin see does not prevent you catching a cold,AGAINST,196,Vitamin C does not prevent you catching a cold.
a 2006 study published in the european journal of clinical nutrition split up patients with atrophic gastritis into a low dose vitamin see group ( receiving 50 mg day ) and a high dose vitamin see group ( receiving 500 mg day ) and followed their self reported incidences of the common cold over a 5 year period,NONE,156,A 2006 study published in the European Journal of Clinical Nutrition split up patients with atrophic gastritis into a low-dose Vitamin C group (receiving 50mg/day) and a high-dose Vitamin C group (receiving 500mg/day) and followed their self-reported incidences of the common cold over a 5-year period.
this may result in reducing the number of infections as well as their severity,FAVOR,40,This may result in reducing the number of infections as well as their severity.
"all of the volunteers whether they received vitamin see or not , got colds , which were of equal severity",AGAINST,123,"All of the volunteers whether they received Vitamin C or not, got colds, which were of equal severity ."
"recent findings suggest it may also protect against helicobacter pylori , bacteria linked to both stomach cancer and ulcers",NONE,222,"Recent findings suggest it may also protect against Helicobacter pylori, bacteria linked to both stomach cancer and ulcers."
they found a 29 decrease in severity of common cold symptoms for groups that increased their intake from 1000 mg to 2000 4000 mg throughout the duration of their cold,FAVOR,153,They found a 29% decrease in severity of common cold symptoms for groups that increased their intake from 1000mg to 2000-4000mg throughout the duration of their cold.
"the researchers discovered that it halved the risk of catching a cold among people under short term physical stress , such as exercise",FAVOR,23,"The researchers discovered that it halved the risk of catching a cold among people under short term physical stress, such as exercise."
"here , too , the antioxidant effect may be at work , preventing damage to artery walls that can promote cholesterol buildup",NONE,227,"Here, too, the antioxidant effect may be at work, preventing damage to artery walls that can promote cholesterol buildup."
a 2003 study at the san francisco veterans affairs medical center reported that people with high blood levels of vitamin see are less likely to test positive for infection by h pylori,NONE,223,A 2003 study at the San Francisco Veterans Affairs Medical Center reported that people with high blood levels of vitamin C are less likely to test positive for infection by H. pylori.
gorton and jarvis conducted a controlled study of 715 subjects to investigate the effect of mega dose vitamin see in preventing and relieving cold and flu symptoms,NONE,81, Gorton and Jarvis conducted a controlled study of 715 subjects to investigate the effect of mega dose vitamin C in preventing and relieving cold and flu symptoms.
vitamin see is believed to have protective effects on body cells when there is an infection,FAVOR,39,Vitamin C is believed to have protective effects on body cells when there is an infection.
"however , vitamin see supplementation does drastically reduce the incidence of cold under high stress conditions such as intense exercise or subarctic temperatures",FAVOR,200,"However, vitamin C supplementation does drastically reduce the incidence of cold under high-stress conditions such as intense exercise or subarctic temperatures."
"most of the studies that the researchers reviewed were double blinded , meaning that neither the participants nor the doctors who ran the study were told which participants were getting a sugar pill and which were taking the vitamin supplement",NONE,250,"Most of the studies that the researchers reviewed were double-blinded, meaning that neither the participants nor the doctors who ran the study were told which participants were getting a sugar pill and which were taking the vitamin supplement."
if the average cold lasts 8 to 10 days then you will feel like your cold has stopped about one day sooner when you take vitamin see regularly,FAVOR,47,If the average cold lasts 8 to 10 days then you will feel like your cold has stopped about one day sooner when you take vitamin C regularly.
another role vitamin see plays is with promoting a strong immune system and helping to build collagen,NONE,94,Another role vitamin C plays is with promoting a strong immune system and helping to build collagen.
"eating kiwis also lowered triglycerides , or fats in the blood , by 15 percent , an effect that scientists credit to kiwis vitamin see , e and polyphenol content",NONE,230,"Eating kiwis also lowered triglycerides, or fats in the blood, by 15 percent, an effect that scientists credit to kiwis� vitamin C, E and polyphenol content."
"a 2013 review of dozens of studies found that vitamin see reduces the duration of colds by 8 percent in adults , and 14 percent in children",FAVOR,246,"A 2013 review of dozens of studies found that vitamin C reduces the duration of colds by 8 percent in adults, and 14 percent in children."
taking vitamin see has long been a conventional approach to preventing and fighting a cold,FAVOR,161,Taking vitamin C has long been a conventional approach to preventing and fighting a cold.
the studies evaluating prevention showed that adults taking vitamin see daily did not decrease the number of colds relative to those taking a placebo,AGAINST,43, The studies evaluating prevention showed that adults taking vitamin C daily did not decrease the number of colds  relative to those taking a placebo.
vitamin see acts as an antihistamine and anti inflammatory to help dry up a runny nose,FAVOR,145,Vitamin C acts as an antihistamine and anti-inflammatory to help dry up a runny nose.
"recent studies have revealed that vitamin see did n't keep colds at bay for most people , but was found to reduce the duration of a cold when taken at the onset of symptoms",FAVOR,190,"Recent studies have revealed that vitamin C didn't keep colds at bay for most people, but was found to reduce the duration of a cold when taken at the onset of symptoms."
in some cases vitamin see made cold symptoms improve,FAVOR,208,In some cases vitamin C made cold symptoms improve.
but the authors did find evidence that the vitamin could help prevent colds in people exposed to extreme physical exertion or cold weather,FAVOR,3,But the authors did find evidence that the vitamin could help prevent colds in people exposed to extreme physical exertion or cold weather.
"contrary to popular belief , mega doses of vitamin see are not the best way to get over a cold",AGAINST,105,"Contrary to popular belief, mega-doses of vitamin C are not the best way to get over a cold."
"although promising , we are not yet certain if taking larger doses of vitamin see makes any real difference once a cold has started",NONE,53,"Although promising, we are not yet certain if taking larger doses of vitamin C makes any real difference once a cold has started."
"taken together , the anderson studies suggest that extra vitamin see nay slightly reduce the severity of colds , but that it is not necessary to take the high dosages suggested by pauling to achieve this result",AGAINST,133,"Taken together, the Anderson studies suggest that extra vitamin C nay slightly reduce the severity of colds, but that it is not necessary to take the high dosages suggested by Pauling to achieve this result."
"in these prevention studies , those people who were given vitamin see and then caught a cold experienced a small reduction in the duration of the cold compared with those taking a placebo",FAVOR,1,"In these prevention studies, those people who were given vitamin C and then caught a cold experienced a small reduction in the duration of the cold compared with those taking a placebo."
this year a report in the european journal of clinical nutrition suggests that vitamin see in breast milk may reduce the risk of allergic dermatitis in predisposed infants,NONE,233,This year a report in the European Journal of Clinical Nutrition suggests that vitamin C in breast milk may reduce the risk of allergic dermatitis in predisposed infants.
and another study suggests upping vitamin see intake could reduce the severity and duration of a cold and hopefully erase the need for that economy size tissue box,FAVOR,103,And another study suggests upping vitamin C intake could reduce the severity and duration of a cold � and hopefully erase the need for that economy-size tissue box.
"there were two studies where the participants took ' mega ' doses of vitamin see at the start of the cold ( i e , taking very large doses of vitamin see )",NONE,49,"There were two studies where the participants took 'mega' doses of vitamin C at the start of the cold (i.e., taking very large doses of vitamin C)."
"in the years since the publication of pauling 's popular book , researchers have found inconclusive evidence supporting his claim that vitamin see has a significant effect on preventing and fighting colds",AGAINST,163,"In the years since the publication of Pauling's popular book, researchers have found inconclusive evidence supporting his claim that Vitamin C has a significant effect on preventing and fighting colds."
"in the years since pauling and kle nner , research has confirmed that vitamin see is the safest , cheapest and most effective way to fight the common cold",FAVOR,80,"In the years since Pauling and Klenner, research has reconfirmed that vitamin C is the safest, cheapest and most effective way to fight the common cold."
"you can get vitamin see when you eat fruits and veggies , especially oranges and other citrus fruits",NONE,205,"You can get vitamin C when you eat fruits and veggies, especially oranges and other citrus fruits."
