Tweet,Stance,Index,Original Tweet
"many bothersome symptoms associated with menopause , including hot flashes and mood swings , frequently get better on their own",AGAINST,22,"Many bothersome symptoms associated with menopause, including hot flashes and mood swings, frequently get better on their own."
"prof dame valerie be ral , professor of epidemiology and director of the cancer epidemiology unit at the university of oxford , called for guidelines to be changed to warn women of the link between hrt and ovarian cancer",AGAINST,93,"Prof Dame Valerie Beral, professor of epidemiology and director of the cancer epidemiology unit at the University of Oxford, called for guidelines to be changed to warn women of the link between HRT and ovarian cancer."
"if you decide to use hrt , try estrogen only formulations and use it for as brief a time as possible",AGAINST,192,"If you decide to use HRT, try estrogen-only formulations and use it for as brief a time as possible."
"however , the latest news about associated health risks has led doctors to believe that the cancer risks are serious enough to outweigh the benefits of the therapy for many women",AGAINST,229,"However, the latest news about associated health risks has led doctors to believe that the cancer risks are serious enough to outweigh the benefits of the therapy for many women."
"systemic estrogen which comes in pill , skin patch , gel , cream or spray form remains the most effective treatment for relief of troublesome menopausal hot flashes and night sweats",FAVOR,51,"Systemic estrogen � which comes in pill, skin patch, gel, cream or spray form � remains the most effective treatment for relief of troublesome menopausal hot flashes and night sweats."
"although hrt use fell rapidly about a decade ago , in the uk and the us around six million women are still using the treatment , which counters hot flushes , mood swings and other symptoms of the menopause",NONE,95,"Although HRT use fell rapidly about a decade ago, in the UK and the US around six million women are still using the treatment, which counters hot flushes, mood swings and other symptoms of the menopause."
there is evidence that the progestogen part of combined hrt can counteract the cancer causing effects of the estrogen part,FAVOR,141,There is evidence that the progestogen part of combined HRT can counteract the cancer-causing effects of the oestrogen part.
"whi study on hrt usage showed that 38 women are being diagnosed with breast cancer per 10 , 000 women who are taking the combined hrt per year as compared to 30 women per 10 , 000 who are not using hrt",AGAINST,196,"WHI study on HRT usage showed that 38 women are being diagnosed with breast cancer per 10,000 women who are taking the combined HRT per year as compared to 30 women per 10,000 who are not using HRT. "
"hrt drugs are used to alleviate the symptoms of the menopause , which can be so severe they interfere with day to day life",FAVOR,76,"HRT drugs are used to alleviate the symptoms of the menopause, which can be so severe they interfere with day-to-day life."
"for most women with menopausal symptoms or those thought to be at risk of osteoporosis , the benefits of taking hrt outweigh the risks",FAVOR,41,"For most women with menopausal symptoms or those thought to be at risk of osteoporosis, the benefits of taking HRT outweigh the risks."
the original research found that women who had taken hrt were twice as likely to develop breast cancer and more likely to die,AGAINST,111,The original research found that women who had taken HRT were twice as likely to develop breast cancer and more likely to die.
more research needs to be carried out in this area before this link is confirmed,NONE,150,More research needs to be carried out in this area before this link is confirmed.
"taking hrt for five years is linked to one extra case of ovarian cancer per 1 , 000 women",AGAINST,78,"Taking HRT for five years is linked to one extra case of ovarian cancer per 1,000 women."
the meta analysis also finds a reduced risk of mucinous ovarian cancer with hrt use,FAVOR,164,The meta-analysis also finds a reduced risk of mucinous ovarian cancer with HRT use.
and there are a variety of non hormonal therapies to treat bladder problems and vaginal dryness associated with menopause,AGAINST,26,And there are a variety of nonhormonal therapies to treat bladder problems and vaginal dryness associated with menopause.
"in view of this latest news , some doctors are reevaluating the safety of estrogen replacement therapy for everyone except women who have had a hysterectomy and who have had both ovaries removed",AGAINST,237,"In view of this latest news, some doctors are reevaluating the safety of estrogen replacement therapy for everyone except women who have had a hysterectomy and who have had both ovaries removed."
"it is important to note that the largest randomized trial of hrt in post menopausal women , the women is health initiative , did not find any increase in risk of ovarian cancer for users of estrogen or estrogen plus progestogen therapy after more than 5 years use",FAVOR,162,"It is important to note that the largest Randomised trial of HRT in post menopausal women, The Women�s Health Initiative, did not find any increase in risk of ovarian cancer for users of oestrogen or oestrogen plus progestogen therapy after more than 5 years use."
many factors aside from hrt influence breast cancer risk,NONE,185,Many factors aside from HRT influence breast cancer risk.
but the picture for combined hrt is a bit more complicated,NONE,140,But the picture for combined HRT is a bit more complicated.
"the authors of an article on the trial 's results , published in jama , point out that the percentage of cancer risk was high in women taking hrt , compared to women who did n't take hormones",AGAINST,0,"The authors of an article on the trial's results, published in JAMA, point out that the percentage of cancer risk was high in women taking HRT, compared to women who didn't take hormones"
"out of 10 , 000 women taking hrt , seven more would be expected to have coronary heart disease events , eight more would have breast cancer , eight more would have strokes , and eight more would have blood clots",AGAINST,2,"Out of 10,000 women taking HRT, seven more would be expected to have coronary heart disease events, eight more would have breast cancer, eight more would have strokes, and eight more would have blood clots."
women have a one in 50 chance of developing ovarian cancer in their lifetime,NONE,77,Women have a one in 50 chance of developing ovarian cancer in their lifetime .
"use of hormone therapy changed abruptly when a large clinical trial found that the treatment actually posed more health risks than benefits for one type of hormone therapy , particularly when given to older postmenopausal women",AGAINST,46,"Use of hormone therapy changed abruptly when a large clinical trial found that the treatment actually posed more health risks than benefits for one type of hormone therapy, particularly when given to older postmenopausal women."
your risk of developing breast cancer may rise slightly with the amount of estrogen your body is exposed to,AGAINST,100,Your risk of developing breast cancer may rise slightly with the amount of oestrogen�your body is exposed to.
new research shows that existing studies can only tell us that there may or may not be a link between hrt and increased risk of breast cancer,NONE,125,New research shows that existing studies can only tell us that there may or may not be a link between HRT and increased risk of breast cancer.
"hrt may reduce the risk of bowel cancer , but the evidence is mixed",NONE,148,"HRT may reduce the risk of bowel cancer, but the evidence is mixed."
estrogen is prescribed for women who no longer have a uterus,NONE,176,Estrogen is prescribed for women who no longer have a uterus.
the effects were the same for the two main types of hrt preparations containing just estrogen and estrogen together with a prog esta gen,NONE,90,The effects were the same for the two main types of HRT � preparations containing just oestrogen and oestrogen together with a progestagen.
"the study , conducted by a team at oxford university and involving 100 researchers worldwide , found that women who take hrt to combat symptoms of the menopause are 40 per cent more likely to get one of the two most common types of ovarian cancer",AGAINST,85,"The study, conducted by a team at Oxford University and involving 100 researchers worldwide, found that women who take HRT to combat symptoms of the menopause are 40 per cent more likely to get one of the two most common types of ovarian cancer."
the study authors concluded there is a greater adverse influence for estrogen and progestin use and somewhat greater benefit for use of estrogen alone,AGAINST,172,The study authors concluded there is a �greater adverse influence for estrogen and progestin use and somewhat greater benefit for use of estrogen alone.� .
"estrogen therapy may increase the risk of endometrial cancer , so women who still have a uterus usually take estrogen plus progestin",AGAINST,177,"Estrogen therapy may increase the risk of endometrial cancer, so women who still have a uterus usually take estrogen plus progestin."
"scientists found that the rate of ovarian cancer among those who took hrt was too 6 per 1 , 000 women over five years",AGAINST,98,"Scientists found that the rate of ovarian cancer among those who took HRT was 2.6 per 1,000 women over five years."
some women do get side effects with hrt and these will be explained if you choose to use hrt,AGAINST,36,Some women do get side effects with HRT and these will be explained if you choose to use HRT.
using either estrogen only or combined ( estrogen and progestogen ) hrt increases a woman 's risk of ovarian cancer,AGAINST,144,Using either oestrogen-only or combined (oestrogen and progestogen) HRT increases a woman's risk of ovarian cancer.
women who have had their uterus removed ( hysterectomy ) do n't need to take progestin,NONE,61,Women who have had their uterus removed (hysterectomy) don't need to take progestin.
"what often gets lost in the mix when the media discuss hrt is that it brings very real benefits to the quality of life , which should not be discounted",FAVOR,159,"What often gets lost in the mix when the media discuss HRT is that it brings very real benefits to the quality of life, which should not be discounted."
breast cancer is much more common than either ovarian or womb cancer,NONE,137,Breast cancer is much more common than either ovarian or womb cancer.
"today 's report confirms the study 's primary conclusion that combination hormone therapy should not be used to prevent disease in healthy , postmenopausal women",AGAINST,11,"""Today's report confirms the study's primary conclusion that combination hormone therapy should not be used to prevent disease in healthy, postmenopausal women."""
"in a sub study of for , 500 women aged 65 and older in the whi , those on the hrt regimen were found to be twice as likely to develop alzheimer 's disease or another form of dementia within five years compared with women who took a placebo",AGAINST,240,"In a sub-study of 4,500 women aged 65 and older in the WHI, those on the HRT regimen were found to be twice as likely to develop Alzheimer's disease or another form of dementia within five years compared with women who took a placebo."
"unfortunately , few effective alternative treatments exist for menopausal symptoms that are severe",FAVOR,27,"Unfortunately, few effective alternative treatments exist for menopausal symptoms that are severe."
"replacing the lost estrogen with hormone supplements can alleviate these problems , which may include hot flashes , depression , mood swings , vaginal dryness , sleep disturbances , and clouded thinking",FAVOR,227,"Replacing the lost estrogen with hormone supplements can alleviate these problems, which may include hot flashes, depression, mood swings, vaginal dryness, sleep disturbances, and clouded thinking."
new research confirms hrt risks outweigh benefits,AGAINST,4,New research confirms HRT risks outweigh benefits .
the researchers concluded that hrt may or may not increase the risk of breast cancer and none of the three studies is able to establish that it does,NONE,122,The researchers concluded that HRT may or may not increase the risk of breast cancer and none of the three studies is able to establish that it does.
estrogen only hrt is used for women who have had a hysterectomy,NONE,32,�oestrogen only HRT� is used for women who have had a hysterectomy.
"studies have shown that the more days per month a woman uses progestogen , as part of combined hrt , the less the increase in risk of womb cancer",FAVOR,142,"Studies have shown that the more days per month a woman uses progestogen, as part of combined HRT, the less the increase in risk of womb cancer."
replacing estrogen can help ease those symptoms,NONE,175,Replacing estrogen can help ease those symptoms.
"this means that , if you look at the total effect of hrt on these types of cancer , combined hrt is linked to more cases than estrogen only hrt , because of its effect on the risk of breast cancer",AGAINST,138,"This means that, if you look at the total effect of HRT on these types of cancer, combined HRT is linked to more cases than oestrogen-only HRT, because of its effect on the risk of breast cancer."
"in the largest clinical trial to date , a combination estrogen progestin pill ( prempro ) increased the risk of certain serious conditions , including heart disease , stroke , blood clots and breast cancer",AGAINST,62,"In the largest clinical trial to date, a combination estrogen-progestin pill (Prempro) increased the risk of certain serious conditions, including: Heart disease, Stroke, Blood clots and Breast cancer."
"and if they use hrt for over 10 years , their risks are even higher",AGAINST,135,"And if they use HRT for over 10 years, their risks are even higher."
"after menopause , a woman is ovaries stop producing the hormone estrogen",NONE,128,"After menopause, a woman�s ovaries stop producing the hormone oestrogen."
"although there had been some reports that women on hrt developed less aggressive cancers , the researchers found that was far from the case",AGAINST,222,"Although there had been some reports that women on HRT developed less aggressive cancers, the researchers found that was far from the case."
"hrt , a pharmaceutical hormone that often includes a combination of estrogen and progestin , is considered a known human carcinogen",AGAINST,186,"HRT, a pharmaceutical hormone that often includes a combination of estrogen and progestin, is considered a known human carcinogen."
early menopause typically lowers the risk of most types of breast cancer,FAVOR,70,Early menopause typically lowers the risk of most types of breast cancer.
estrogen taken without progestin can cause uterine cancer,AGAINST,232,Estrogen taken without progestin can cause uterine cancer.
"hormone therapy , particularly estrogen combined with a progestin , can make your breasts look more dense on mammograms , making breast cancer more difficult to detect",AGAINST,64,"Hormone therapy, particularly estrogen combined with a progestin, can make your breasts look more dense on mammograms, making breast cancer more difficult to detect."
hormone replacement therapy medications containing female hormones to replace the ones the body no longer makes after menopause used to be a standard treatment for women with hot flashes and other menopause symptoms,FAVOR,44,Hormone replacement therapy � medications containing female hormones to replace the ones the body no longer makes after menopause � used to be a standard treatment for women with hot flashes and other menopause symptoms.
"as much of the uk media pointed out , while the risk increase found here is worth noting and investigating further , women should not stop taking hrt without consulting their doctor",NONE,158,"As much of the UK media pointed out, while the risk increase found here is worth noting and investigating further, women should not stop taking HRT without consulting their doctor."
"if you are worried about taking hrt , you should discuss the risks and benefits relating to your individual situation with your doctor",NONE,40,"If you are worried about taking HRT, you should discuss the risks and benefits relating to your individual situation with your doctor."
the researchers also said that the randomized controlled trial of estrogen only hrt had shown no increased risk of breast cancer,FAVOR,123,The researchers also said that the randomised controlled trial of oestrogen-only HRT had shown no increased risk of breast cancer.
"one of the best things women can do , according to the national cancer institute ( nci ) , is to adopt a healthy lifestyle including not smoking , getting regular exercise , and having a good , nutritious diet",NONE,23,"One of the best things women can do, according to the National Cancer Institute (NCI), is to adopt a healthy lifestyle -- including not smoking, getting regular exercise, and having a good, nutritious diet."
"if you have a personal history of breast cancer or are at higher risk , hrt may not be safe",AGAINST,184,"If you have a personal history of breast cancer or are at higher risk, HRT may not be safe."
"according to the national cancer institute , evidence regarding risks and benefits come from the clinical trials conducted as part of the women is health initiative ( whi )",NONE,180,"According to the National Cancer Institute, evidence regarding risks and benefits come from the clinical trials conducted as part of the Women�s Health Initiative (WHI)."
"but the impact on ovarian cancer due to hrt has been debated , particularly for those taking the drug for less than five years",NONE,81,"But the impact on ovarian cancer due to HRT has been debated, particularly for those taking the drug for less than five years."
current research evidence suggests taking hrt can slightly increase your risk of developing ovarian and breast cancer,AGAINST,39,Current research evidence suggests taking HRT can slightly increase your risk of developing ovarian and breast cancer.
"more recent analysis clarify that the increased risk of breast cancer in the women is health initiative study occurred in women taking the combined estrogen progestin formula , but not in women taking estrogen only hrt supplements",AGAINST,206,"More recent analyses clarify that the increased risk of breast cancer in the Women�s Health Initiative study occurred in women taking the combined estrogen-progestin formula, but not in women taking estrogen-only HRT supplements."
"as the concern about health hazards attributed to hormone therapy grew , doctors became less likely to prescribe it",AGAINST,47,"As the concern about health hazards attributed to hormone therapy grew, doctors became less likely to prescribe it."
"she said the definite risk of ovarian cancer , even with less than five years of hrt , is directly relevant to today 's patterns of use with most women now taking hrt for only a few years and has implications for current efforts to revise uk and worldwide guidelines",AGAINST,94,"She said: ""The definite risk of ovarian cancer, even with less than five years of HRT, is directly relevant to today's patterns of use - with most women now taking HRT for only a few years - and has implications for current efforts to revise UK and worldwide guidelines."""
"when the studies were continued for the estrogen only arms of the major studies , statistically significant decreases in breast cancer risk were noted in women who had been taking conjugated equine estrogen formulations",AGAINST,207,"When the studies were continued for the estrogen-only arms of the major studies, statistically significant decreases in breast cancer risk were noted in women who had been taking conjugated equine estrogen formulations."
this topic has been a contentious issue for some years with a majority of observational studies failing to show an increased risk of ovarian cancer with hrt use whilst two large studies from the uk and denmark did find an increase,NONE,161,This topic has been a contentious issue for some years with a majority of observational studies failing to show an increased risk of ovarian cancer with HRT use whilst two large studies from the UK and Denmark did find an increase.
"tt is thought that most women in early menopause would benefit from taking hrt , at least until the predicted age of natural menopause roughly 52 years of age",FAVOR,43,"Tt is thought that most women in early menopause would benefit from taking HRT, at least until the predicted age of natural menopause � roughly 52 years of age."
in 2015 new research found that there is an increased risk of ovarian cancer even for women who are taking hrt for under 5 years,AGAINST,145,In 2015 new research found that there is an increased risk of ovarian cancer even for women who are taking HRT for under 5 years.
"in earlier clinical trials , combination hormone replacement therapy ( hrt ) consisting of progestin plus estrogen was linked to an increased risk of breast cancer and death from that disease",AGAINST,168,"In earlier clinical trials, combination hormone replacement therapy (HRT) consisting of progestin plus estrogen was linked to an increased risk of breast cancer and death from that disease."
the difference between the women taking hrt and those on placebo was alarming enough to halt at five years a portion of the study that was supposed last more than eight years,AGAINST,3,The difference between the women taking HRT and those on placebo was alarming enough to halt at five years a portion of the study that was supposed last more than eight years.
hormone replacement therapy ( hrt ) is associated with a slightly increased risk of developing breast cancer,AGAINST,105,Hormone replacement therapy (HRT) is associated with a slightly increased risk of developing breast cancer.
"low dose vaginal preparations of estrogen which come in cream , tablet or ring form can effectively treat vaginal symptoms and some urinary symptoms , while minimizing absorption into the body",FAVOR,53,"Low-dose vaginal preparations of estrogen � which come in cream, tablet or ring form � can effectively treat vaginal symptoms and some urinary symptoms, while minimizing absorption into the body."
"the risk of developing breast cancer is increased for women who are using combined hrt , and may also be increased for users of estrogen only hrt",AGAINST,133,"The risk of developing breast cancer is increased for women who are using combined HRT, and may also be increased for users of oestrogen-only HRT."
"on the contrary , women taking the combined hrt were 25 percent more likely to have an invasive breast cancer than women in the placebo group",AGAINST,223,"On the contrary, women taking the combined HRT were 25 percent more likely to have an invasive breast cancer than women in the placebo group. "
the evidence from studies of women taking hrt has supported these concerns regarding cancer,AGAINST,190,The evidence from studies of women taking HRT has supported these concerns regarding cancer.
some women may be able to take hormone replacement therapy to treat hot flashes and other menopausal symptoms in the short term without any ill effects,FAVOR,228,Some women may be able to take hormone replacement therapy to treat hot flashes and other menopausal symptoms in the short term without any ill effects.
"however , further review of clinical trials and new evidence show that hormone therapy may be a good choice for certain women , depending on their risk factors",FAVOR,49,"However, further review of clinical trials and new evidence show that hormone therapy may be a good choice for certain women, depending on their risk factors."
"this meta analysis does not suggest that hrt causes ovarian cancer but does find an association between hrt use and increased risk of two specific types of epithelial ovarian cancer , serous and endo metroid",AGAINST,163,"This meta-analysis does not suggest that HRT causes ovarian cancer but does find an association between HRT use and increased risk of two specific types of epithelial ovarian cancer, serous and endometroid."
"however , the hrt drugs have also been found to reduce the risk of osteoporosis and bowel cancers",FAVOR,80,"However, the HRT drugs have also been found to reduce the risk of osteoporosis and bowel cancers."
"there are several ways hrt can be taken , including as a gel that you rub into your skin , tablets or a patch that sticks onto your skin",NONE,34,"There are several ways HRT can be taken, including as a gel that you rub into your skin, tablets or a patch that sticks onto your skin."
"for women without a hysterectomy , the only recommended hormone replacement therapy is the combination of estrogen and progestin , which causes an increased risk of breast cancer",AGAINST,234,"For women without a hysterectomy, the only recommended hormone replacement therapy is the combination of estrogen and progestin, which causes an increased risk of breast cancer."
another study of the whi data published in jama in 2008 confirmed the health risks associated with long term use of estrogen progestin hormone therapy in postmenopausal women,AGAINST,7,Another study of the WHI data published in JAMA in 2008 confirmed the health risks associated with long-term use of estrogen/progestin hormone therapy in postmenopausal women.
"within too 75 years after stopping therapy , the risk was still present but not as high",AGAINST,171,"Within 2.75 years after stopping therapy, the risk was still present but not as high."
the reports said that the study that reported the link between hrt and breast cancer in 2002 was fundamentally flawed,FAVOR,110,The reports said that the study that reported the link between HRT and breast cancer in 2002 was �fundamentally flawed�.
"an increase in risk with hrt was seen only for the two most common types of ovarian cancer , serous and en dome trio id ovarian cancers , and not for the two less common types , mucinous and clear cell ovarian cancers",AGAINST,91,"An increase in risk with HRT was seen only for the two most common types of ovarian cancer, serous and endometrioid ovarian cancers, and not for the two less common types, mucinous and clear cell ovarian cancers."
"prof sir richard peto told the bbc news website it 's a risk , about a million women in this country have hrt and 1 , 000 will get ovarian cancer from it",AGAINST,83,"Prof Sir Richard Peto told the BBC News website: ""It's a risk, about a million women in this country have HRT and 1,000 will get ovarian cancer from it."""
"women on combination hormone therapy were also more likely to have abnormal mammograms even in the first year of treatment than women taking a placebo , according to the same study",AGAINST,219,"Women on combination hormone therapy were also more likely to have abnormal mammograms -- even in the first year of treatment -- than women taking a placebo, according to the same study."
women taking the combined hrt were 78 percent more likely to have cancer that had spread to the lymph nodes,AGAINST,224, Women taking the combined HRT were 78 percent more likely to have cancer that had spread to the lymph nodes.
"although the ovarian cancer risk falls over time after stopping hrt treatment , women who had used hrt for at least five years still had an increased risk of ovarian cancer 10 years later",AGAINST,89,"Although the ovarian cancer risk falls over time after stopping HRT treatment, women who had used HRT for at least five years still had an increased risk of ovarian cancer 10 years later."
"while the study showed diminished risk of heart disease three years after the whi intervention stopped , researchers found the overall risks of hormone therapy such as stroke , blood clots , and cancer outweighed the benefits",AGAINST,8,"While the study showed diminished risk of heart disease three years after the WHI intervention stopped, researchers found the overall risks of hormone therapy -- such as stroke, blood clots, and cancer -- outweighed the benefits."
"for postmenopausal women with osteoporosis , for example , there are a number of treatments that have been shown to be more effective than hormone replacement therapy",AGAINST,13,"For postmenopausal women with osteoporosis, for example, there are a number of treatments that have been shown to be more effective than hormone replacement therapy."
"for women who have n't had their uterus removed , estrogen is typically prescribed along with progesterone or progestin ( progesterone like medication )",NONE,59,"For women who haven't had their uterus removed, estrogen is typically prescribed along with progesterone or progestin (progesterone-like medication)."
"after three years , breast cancer rates remained slightly elevated in this group but were no longer statistically different from the placebo group",AGAINST,211,"After three years, breast cancer rates remained slightly elevated in this group but were no longer statistically different from the placebo group."
"the evidence that hrt can cause some types of cancer ( breast , womb and ovarian ) is strong",AGAINST,131,"The evidence that HRT can cause some types of cancer (breast, womb and ovarian) is strong."
progestin keeps uterine cells from dividing and causes the uterus to shed its lining each month,NONE,17,Progestin keeps uterine cells from dividing and causes the uterus to shed its lining each month.
"hormone therapy that includes progestin plus estrogen may increase breast cancer risk , but estrogen alone may lower risk , according to long term review",NONE,166,"Hormone therapy that includes progestin plus estrogen may increase breast cancer risk, but estrogen alone may lower risk, according to long-term review."
"hormone replacement therapy increases the risk of ovarian cancer , analysis of 52 separate studies has found",AGAINST,72,"Hormone replacement therapy increases the risk of ovarian cancer, analysis of 52 separate studies has found."
"the next year , the journal of the american medical association ( jama ) reported more bad news for women getting hrt",AGAINST,216,"The next year, the Journal of the American Medical Association (JAMA) reported more bad news for women getting HRT."
the million women study results suggested that women who are using combined hrt have double the risk of breast cancer compared to non users,AGAINST,134,The Million Women Study results suggested that women who are using combined HRT have double the risk of breast cancer compared to non-users.
breast cancer risk was greatest among users of estrogen progestin combination therapy,AGAINST,201,Breast cancer risk was greatest among users of estrogen-progestin combination therapy.
"as you approach menopause , your levels of estrogen and progesterone ( the hormones that cause you to ovulate and menstruate each month ) start to decline , often triggering a whole host of symptoms that can range from annoying to incapacitating",NONE,226,"As you approach menopause, your levels of estrogen and progesterone (the hormones that cause you to ovulate and menstruate each month) start to decline, often triggering a whole host of symptoms that can range from annoying to incapacitating."
a related clinical trial evaluating estrogen alone ( premarin ) in women who previously had a hysterectomy found no increased risk of breast cancer or heart disease,FAVOR,63,A related clinical trial evaluating estrogen alone (Premarin) in women who previously had a hysterectomy found no increased risk of breast cancer or heart disease.
"low dose vaginal preparations do not help with hot flashes , night sweats or protection against osteoporosis",AGAINST,54,"Low-dose vaginal preparations do not help with hot flashes, night sweats or protection against osteoporosis."
"it 's estimated that there will be an extra 19 cases of breast cancer for every 1 , 000 women taking combined hrt for 10 years",AGAINST,107,"It's estimated that there will be an extra 19 cases of breast cancer for every 1,000 women�taking combined HRT for 10 years."
"the benefits of hormone therapy depend , in part , on whether you take systemic hormone therapy or low dose vaginal preparations of estrogen",FAVOR,50,"The benefits of hormone therapy depend, in part, on whether you take systemic hormone therapy or low-dose vaginal preparations of estrogen."
other research has confirmed the basic result that use of hrt increases risk of breast cancer in post menopausal women,AGAINST,204,Other research has confirmed the basic result that use of HRT increases risk of breast cancer in post-menopausal women.
"lack of estrogen can cause symptoms such as hot flashes , vaginal dryness , and painful intercourse",NONE,174,"Lack of estrogen can cause symptoms such as hot flashes, vaginal dryness, and painful intercourse."
examination of cancer tissue in women taking combined hrt at the time of diagnosis reveals an increased presentation of breast cancer of lobular origin,AGAINST,205,Examination of cancer tissue in women taking combined HRT at the time of diagnosis reveals an increased presentation of breast cancer of lobular origin .
it is not surprising that there are concerns over exposure to hormones through pharmaceuticals,AGAINST,189,It is not surprising that there are concerns over exposure to hormones through pharmaceuticals.
hrt had often been prescribed for the treatment of urinary incontinence,NONE,242,HRT had often been prescribed for the treatment of urinary incontinence.
"the journal published a study of women who took a combination of estrogen and progestin , a synthetic form of progesterone , and showed they were at risk of getting a more aggressive form of breast cancer than women who did n't get hrt",AGAINST,217,"The journal published a study of women who took a combination of estrogen and progestin, a synthetic form of progesterone, and showed they were at risk of getting a more aggressive form of breast cancer than women who didn't get HRT."
women who had a hysterectomy and took estrogen alone were found to have a reduced risk of breast cancer and breast cancer death,FAVOR,169,Women who had a hysterectomy and took estrogen alone were found to have a reduced risk of breast cancer and breast cancer death.
the study found no significant association between hormone therapy and heart disease,AGAINST,58,The study found no significant association between hormone therapy and heart disease.
"hormone therapy is no longer recommended for disease prevention , such as heart disease or memory loss",AGAINST,48,"Hormone therapy is no longer recommended for disease prevention, such as heart disease or memory loss."
the study found that there was a significantly increased risk of developing the disease in current or recent users of hrt,AGAINST,88,The study found that there was a significantly increased risk of developing the disease in current or recent users of HRT.
"hrt may also not be a good choice if you have uterine fibroids , since estrogen can make them grow bigger , and thus cause pain and bleeding",AGAINST,21,"HRT may also not be a good choice if you have uterine fibroids, since estrogen can make them grow bigger, and thus cause pain and bleeding."
